wavelength a0v a2v a3v a5v a7v b0v b1v b3v b8v b9v f0v f2v f5v f6v f8v g0v g2v g5v g8v k0v k2v k3v k4v k5v k7v m0v m1v m2v m3v m4v m5v m6v o5v o9v
0.12450000000000003 0.044974 0.0093 0.005788 0.000782 0.00194 89.924446 59.66164 30.663395 3.537647 0.378354 0.001239 0.002632 0.00034 0.000482 0.000259 0.000237 0.000216 0.000393 0.0 0.0 0.000489 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.425267 77.914902
0.12500000000000003 0.08978 0.027538 0.008141 0.006129 0.004591 86.548447 58.28936 29.722422 3.779929 0.56141 0.002106 0.001551 0.000625 0.000915 0.000205 0.000183 0.000167 0.000239 0.0 0.0 0.000518 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.33257 75.940147
0.12550000000000003 0.107513 0.037438 0.01038 0.00615 0.001872 87.089844 57.567169 29.280947 3.71438 0.700569 0.001743 0.002105 0.000709 0.000192 0.000164 0.000191 0.000174 0.000134 0.0 0.0 0.000574 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.277149 76.334549
0.12600000000000003 0.102995 0.03156 0.009908 0.004974 0.002015 89.849701 58.329048 27.75099 3.179753 0.608541 0.001372 0.002449 0.00067 0.001303 0.000184 0.000184 0.000168 0.00015 0.0 0.0 0.000918 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.26959 79.712029
0.12650000000000003 0.163623 0.05137 0.015776 0.004305 0.000816 94.026787 61.216297 27.883957 3.424536 0.766182 0.000277 0.000586 0.000537 0.000881 0.000129 0.0 0.0 0.000146 0.0 0.0 0.000646 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.999817 83.818031
0.12700000000000003 0.287057 0.129364 0.02256 0.005035 0.000644 93.423546 61.857899 29.480719 4.316565 1.183433 0.000724 0.001623 0.000351 0.000592 9.5e-05 0.0 0.0 0.000153 0.0 0.0 0.000167 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.816989 84.917282
0.12750000000000003 0.339408 0.152724 0.028252 0.004842 0.000594 92.871849 61.939323 29.160965 4.567637 1.270464 0.000418 0.001149 0.000189 0.000613 0.000205 9e-05 8.2e-05 0.000239 0.0 0.0 0.000209 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.038819 84.950371
0.12800000000000003 0.464954 0.206271 0.044197 0.006096 0.000947 92.543579 62.277115 29.587063 4.85252 1.56308 0.001003 0.002167 0.0006 0.000576 0.000269 0.000333 0.000304 0.000307 0.0 0.0 0.000209 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.157413 83.935829
0.12850000000000003 0.543897 0.29434 0.056652 0.004384 0.0 90.534103 60.798111 29.411196 5.028935 1.858942 0.000172 0.003181 0.000402 0.000131 0.000289 0.000305 0.000279 0.000254 0.0 0.0 0.000215 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.720798 82.218506
0.12900000000000003 0.583538 0.284121 0.049619 0.004738 0.0 91.355659 58.308208 26.97224 4.810798 1.802841 0.0 0.000937 8.4e-05 0.0 0.000222 6.1e-05 5.5e-05 0.000172 0.0 0.0 0.000332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.27099 84.083557
0.12950000000000003 0.652544 0.325176 0.068418 0.00144 0.0 86.102081 52.355621 23.183989 4.422797 1.773047 0.0 0.0 0.000127 0.000101 0.000204 5.9e-05 5.4e-05 0.000196 0.0 0.0 0.000337 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.288293 80.281158
0.13000000000000003 0.56833 0.312861 0.064254 0.003983 0.0 80.671089 49.086578 21.063238 3.773776 1.536679 0.0 0.000706 0.000443 0.000401 0.00034 0.000183 0.000167 0.000443 0.0 0.0 0.001421 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.213554 74.253761
0.13050000000000003 0.465444 0.207035 0.048627 0.003084 0.0 83.867256 53.776215 21.724607 3.294207 1.216173 0.000714 0.00266 0.000832 0.000602 0.000368 0.0 0.0 0.000597 0.0 0.0 0.001756 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.725484 75.847694
0.13100000000000003 0.558746 0.205818 0.054869 0.002804 0.0 92.127243 59.372475 25.007467 3.917732 1.447323 0.000438 0.002727 0.000724 0.000392 0.000249 0.000138 0.000126 0.000253 0.0 0.0 0.000669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.801042 80.161942
0.13150000000000003 0.815444 0.378064 0.098457 0.003681 0.0 89.050255 59.108959 28.309021 5.151247 2.034999 0.000142 0.001336 0.00047 0.00032 0.000253 0.000287 0.000262 0.000122 0.0 0.0 0.000404 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.241415 79.952248
0.13200000000000003 0.91704 0.516613 0.123269 0.001503 0.0 88.100487 57.901424 28.00708 5.518323 2.348815 0.000279 5e-05 0.00026 0.000653 0.000232 0.000218 0.000199 0.000101 0.0 0.0 0.000352 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.143845 78.02401
0.13250000000000003 0.916888 0.509219 0.117805 0.001259 0.0 83.684067 54.624104 25.990555 5.263555 2.297984 0.0 0.001177 0.00011 0.00027 0.000221 0.000136 0.000124 0.00015 0.0 0.0 0.000514 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.355783 76.358887
0.13300000000000003 0.866914 0.469999 0.11076 0.002836 0.001126 84.501854 52.776257 23.72319 4.81567 2.139876 0.0 0.00165 0.000469 0.000528 0.000326 0.00021 0.000192 0.000373 0.0 0.0 0.001297 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.81262 75.222664
0.13350000000000004 0.921322 0.456474 0.118982 0.002611 0.002608 78.060562 49.836311 22.362755 4.562165 1.957943 0.001842 0.002258 0.000903 0.000481 0.000419 0.000178 0.000163 0.000748 0.0 0.0 0.002449 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.796715 70.153854
0.13400000000000004 1.129171 0.602398 0.156111 0.004889 0.001526 76.939613 50.826271 24.811134 5.236618 2.472491 0.001453 0.002588 0.000683 0.00044 0.000266 6.4e-05 5.8e-05 0.000264 0.0 0.0 0.000801 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.036439 69.139252
